2024-05-16 08:31:21,238 - INFO - Connection established with 192.168.56.104:45716 (Number of connections: 1)
2024-05-16 08:31:21,238 - INFO - Established with new client: 192.168.56.104:45716
2024-05-16 08:31:29,241 - INFO - Session_1 192.168.56.104:45716 disconnected!
2024-05-16 08:31:29,242 - INFO - Session_1 192.168.56.104:45716 disconnected!
2024-05-16 08:31:29,242 - INFO - Listen on 192.168.56.1:2404
2024-05-16 08:32:16,948 - INFO - Established with new client: 192.168.56.104
2024-05-16 08:32:16,949 - INFO - Connection established with 192.168.56.104:60728 (Number of connections: 1)
2024-05-16 08:32:16,949 - INFO - Established with new client: 192.168.56.104:60728
2024-05-16 08:32:24,951 - INFO - Session_1 192.168.56.104:60728 disconnected!
2024-05-16 08:32:24,951 - INFO - Session_1 192.168.56.104:60728 disconnected!
2024-05-16 08:32:24,952 - INFO - Listen on 192.168.56.1:2404
2024-05-16 08:32:59,900 - INFO - Listen on 192.168.56.1:2404
2024-05-16 08:33:01,725 - INFO - Established with new client: 192.168.56.104
2024-05-16 08:33:01,725 - INFO - Connection established with 192.168.56.104:58184 (Number of connections: 1)
2024-05-16 08:33:01,725 - INFO - Established with new client: 192.168.56.104:58184
2024-05-16 08:33:09,727 - INFO - Session_1 192.168.56.104:58184 disconnected!
2024-05-16 08:33:09,728 - INFO - Session_1 192.168.56.104:58184 disconnected!
2024-05-16 08:33:09,728 - INFO - Listen on 192.168.56.1:2404
2024-05-16 08:35:00,218 - INFO - Listen on 192.168.56.1:2404
2024-05-16 08:35:01,539 - INFO - Established with new client: 192.168.56.104
2024-05-16 08:35:01,539 - INFO - Connection established with 192.168.56.104:34560 (Number of connections: 1)
2024-05-16 08:35:01,539 - INFO - Established with new client: 192.168.56.104:34560
2024-05-16 08:35:04,542 - INFO - Session_1 192.168.56.104:34560 disconnected!
2024-05-16 08:35:04,542 - INFO - Session_1 192.168.56.104:34560 disconnected!
2024-05-16 08:35:04,543 - INFO - Listen on 192.168.56.1:2404
2024-05-16 09:06:50,738 - INFO - Listen on 192.168.56.1:2404
2024-05-16 09:06:58,494 - INFO - Established with new client: 192.168.56.104
2024-05-16 09:06:58,494 - INFO - Connection established with 192.168.56.104:50006 (Number of connections: 1)
2024-05-16 09:06:58,494 - INFO - Established with new client: 192.168.56.104:50006
2024-05-16 09:07:15,569 - INFO - Session_1 192.168.56.104:50006 disconnected!
2024-05-16 09:07:15,570 - INFO - Session_1 192.168.56.104:50006 disconnected!
2024-05-16 09:07:15,570 - INFO - Listen on 192.168.56.1:2404
2024-05-16 09:07:37,488 - INFO - Listen on 192.168.56.1:2404
2024-05-16 09:07:44,617 - INFO - Listen on 192.168.56.1:2404
2024-05-16 09:07:46,885 - INFO - Established with new client: 192.168.56.104
2024-05-16 09:07:46,886 - INFO - Connection established with 192.168.56.104:34486 (Number of connections: 1)
2024-05-16 09:07:46,886 - INFO - Established with new client: 192.168.56.104:34486
2024-05-16 09:08:38,078 - INFO - Session_1 192.168.56.104:34486 disconnected!
2024-05-16 09:08:38,078 - INFO - Session_1 192.168.56.104:34486 disconnected!
2024-05-16 09:08:38,078 - INFO - Listen on 192.168.56.1:2404
2024-05-16 09:08:49,553 - INFO - Listen on 192.168.56.1:2404
2024-05-16 09:08:51,475 - INFO - Established with new client: 192.168.56.104
2024-05-16 09:08:51,475 - INFO - Connection established with 192.168.56.104:42180 (Number of connections: 1)
2024-05-16 09:08:51,475 - INFO - Established with new client: 192.168.56.104:42180
2024-05-16 09:09:08,559 - INFO - Session_1 192.168.56.104:42180 disconnected!
2024-05-16 09:09:08,560 - INFO - Session_1 192.168.56.104:42180 disconnected!
2024-05-16 09:09:08,560 - INFO - Listen on 192.168.56.1:2404
2024-05-16 09:10:21,659 - INFO - Listen on 192.168.56.1:2404
2024-05-16 09:10:23,226 - INFO - Established with new client: 192.168.56.104
2024-05-16 09:10:23,226 - INFO - Connection established with 192.168.56.104:58362 (Number of connections: 1)
2024-05-16 09:10:23,226 - INFO - Established with new client: 192.168.56.104:58362
2024-05-16 09:10:26,232 - INFO - Session_1 192.168.56.104:58362 disconnected!
